leaid,district_name,fips_state,state_code,fiscal_year,total_revenue_000s,federal_revenue_000s,state_revenue_000s,local_revenue_000s,total_expenditure_000s,current_exp_elem_secondary_000s,instruction_expenditure_000s,support_services_expenditure_000s,capital_outlay_000s,total_salaries_000s,instruction_salaries_000s,total_benefits_000s
0100005,ALBERTVILLE CITY SCHOOL DISTRICT,1,1,24,94239,17391,51785,25063,81769,69845,41136,23652,9867,5821,41136,2
0102400,MONROE COUNTY SCHOOL DISTRICT,1,1,24,52559,11502,31984,9073,51272,41731,22796,16328,7703,3031,22796,17
0102430,MONTGOMERY COUNTY SCHOOL DISTRICT,1,1,24,452750,119024,206389,127337,448090,368734,189316,159388,59986,26435,189316,654
0102820,RANDOLPH COUNTY SCHOOL DISTRICT,1,1,24,37964,5460,24511,7993,31697,28541,16433,10385,2731,2092,16433,0
0102880,RUSSELL COUNTY SCHOOL DISTRICT,1,1,24,59211,12949,33924,12338,52077,47828,25041,18889,2896,3815,25041,0
0102650,PELL CITY SCHOOL DISTRICT,1,1,24,65562,7948,39412,18202,70726,53231,30803,19281,15378,4152,30803,10
0103090,SUMTER COUNTY SCHOOL DISTRICT,1,1,24,30053,11953,12200,5900,27252,21272,8496,11377,5409,976,8496,3
0103150,TALLADEGA CITY SCHOOL DISTRICT,1,1,24,30591,9129,15811,5651,29530,28637,13416,13360,670,1544,13416,0
0100030,ALEXANDER CITY SCHOOL DISTRICT,1,1,24,56493,8328,29431,18734,102413,38017,21298,14217,59167,2849,21298,0
0103360,TUSCALOOSA CITY SCHOOL DISTRICT,1,1,24,209121,39120,93927,76074,195019,174956,91003,73810,9319,11207,91003,165
0103480,WASHINGTON COUNTY SCHOOL DISTRICT,1,1,24,43069,9371,25578,8120,38485,35389,19364,13586,1951,2442,19364,0
0103510,WILCOX COUNTY SCHOOL DISTRICT,1,1,24,31955,9103,15721,7131,32139,23681,10568,11228,6847,1190,10568,18
0100510,BUTLER COUNTY SCHOOL DISTRICT,1,1,24,48208,10756,28168,9284,43481,37626,20345,14715,3706,2795,20345,46
0102370,MOBILE COUNTY SCHOOL DISTRICT,1,1,24,928454,256659,439915,231880,892710,763880,376068,344001,102074,50929,376068,757
0101410,EUFAULA CITY SCHOOL DISTRICT,1,1,24,72937,11017,52206,9714,68211,59502,41217,15917,7117,6943,41217,28
0100780,CLEBURNE COUNTY SCHOOL DISTRICT,1,1,24,38744,5878,25837,7029,36148,32737,18001,12009,2641,2525,18001,0
0101680,GREENE COUNTY SCHOOL DISTRICT,1,1,24,24075,7933,10329,5813,20751,16979,7875,8113,3098,881,7875,0
0103390,TUSCALOOSA COUNTY SCHOOL DISTRICT,1,1,24,274747,35570,165423,73754,253489,234334,128419,88234,13232,19228,128419,26
0101380,ETOWAH COUNTY BOARD OF EDUCATION,1,1,24,126289,20493,82405,23391,113527,104033,57947,36756,7080,8714,57947,1
0103270,TARRANT CITY SCHOOL DISTRICT,1,1,24,23216,6333,12358,4525,21930,19072,9806,7936,2242,1302,9806,0
0102130,LINDEN CITY SCHOOL DISTRICT,1,1,24,11656,3519,6396,1741,10267,7270,3491,3178,2578,406,3491,0
0100630,CHEROKEE COUNTY SCHOOL DISTRICT,1,1,24,65622,10932,38254,16436,59791,52423,29535,18717,4660,3917,29535,0
0101770,HOUSTON COUNTY SCHOOL DISTRICT,1,1,24,102203,14932,61336,25935,98950,81674,47824,28842,13615,6993,47824,0
0102040,LAWRENCE COUNTY SCHOOL DISTRICT,1,1,24,80005,14440,46533,19032,75905,64307,34143,24973,8850,4689,34143,0
0102635,OXFORD CITY SCHOOL DISTRICT,1,1,24,69649,9434,35640,24575,72119,60269,34289,22519,9487,4099,34289,0
0101980,LANETT CITY SCHOOL DISTRICT,1,1,24,16901,4281,9539,3081,14825,13159,7997,4300,1429,960,7997,29
0103420,TUSCUMBIA CITY SCHOOL DISTRICT,1,1,24,24828,2811,15279,6738,22429,20261,10887,7865,1386,1600,10887,0
0100990,CULLMAN CITY SCHOOL DISTRICT,1,1,24,55408,6340,27114,21954,56293,45837,27025,16833,8021,3199,27025,31
0101350,ESCAMBIA COUNTY SCHOOL DISTRICT,1,1,24,78146,18412,40429,19305,72793,66110,32115,30116,4894,4162,32115,2
0101530,FLORENCE CITY SCHOOL DISTRICT,1,1,24,90857,12204,40018,38635,80222,69878,40323,25520,7486,4519,40323,34
0102250,MARENGO COUNTY SCHOOL DISTRICT,1,1,24,20250,5390,9969,4891,18778,17703,9986,6619,853,970,9986,0
0100100,ARAB CITY SCHOOL DISTRICT,1,1,24,41653,3579,24932,13142,34271,32470,18516,12146,1025,2637,18516,0
0103330,TROY CITY SCHOOL DISTRICT,1,1,24,33028,8889,15260,8879,28283,24981,14877,8720,2081,1777,14877,37
0101660,GENEVA COUNTY SCHOOL DISTRICT,1,1,24,46676,10963,29072,6641,40049,35488,19700,12643,3079,2819,19700,0
0101740,HENRY COUNTY SCHOOL DISTRICT,1,1,24,38879,6828,24636,7415,38062,32167,18086,11895,4202,2539,18086,105
0102010,LAUDERDALE COUNTY SCHOOL DISTRICT,1,1,24,119693,11904,77957,29832,119856,104666,59000,38708,12795,7992,59000,0
0102700,PHENIX CITY SCHOOL DISTRICT,1,1,24,108632,18340,67021,23271,95477,89833,49990,34203,2532,7276,49990,2
0100360,BIBB COUNTY SCHOOL DISTRICT,1,1,24,53013,8884,34183,9946,45714,40678,20928,16755,3060,3077,20928,25
0100420,BLOUNT COUNTY SCHOOL DISTRICT,1,1,24,112036,15470,73445,23121,102977,91695,50948,33784,8700,7706,50948,0
0101860,JACKSONVILLE CITY SCHOOL DISTRICT,1,1,24,27674,4818,16146,6710,25382,21465,12296,7432,2827,1717,12296,0
0101620,GADSDEN CITY SCHOOL DISTRICT,1,1,24,84027,23268,44679,16080,76151,69881,41049,24212,2932,4872,41049,84
0101640,GENEVA CITY SCHOOL DISTRICT,1,1,24,21940,3863,13633,4444,19394,17272,9912,6410,1365,1263,9912,0
0102940,SCOTTSBORO CITY SCHOOL DISTRICT,1,1,24,41282,5005,23483,12794,44807,33850,17614,14023,8549,2430,17614,0
0100007,HOOVER CITY SCHOOL DISTRICT,1,1,24,260112,12340,105748,142024,236796,205932,122294,73144,22991,13524,122294,8
0101950,LAMAR COUNTY SCHOOL DISTRICT,1,1,24,37532,7263,23916,6353,34786,27704,14297,10999,6120,2176,14297,0
0102100,LIMESTONE COUNTY SCHOOL DISTRICT,1,1,24,203881,21900,136209,45772,174427,154365,104891,43328,15866,15893,104891,22
0101200,DEMOPOLIS CITY SCHOOL DISTRICT,1,1,24,35683,7694,20328,7661,35089,27960,16701,9186,6401,2037,16701,0
0101730,HARTSELLE CITY SCHOOL DISTRICT,1,1,24,74075,2655,35217,36203,69025,48571,26967,19136,18541,3669,26967,3
