rpopall_24,state,distid,name,stabrev,saepov5_17rv_24,rpop5_17v_24
35276,1,190,Alabaster City School District,AL,675,6592
23438,1,5,Albertville City School District,AL,1059,4884
16830,1,30,Alexander City City School District,AL,693,2685
8890,1,60,Andalusia City School District,AL,451,1508
21578,1,90,Anniston City School District,AL,1051,2937
8862,1,100,Arab City School District,AL,218,1582
29364,1,120,Athens City School District,AL,600,4467
5814,1,180,Attalla City School District,AL,295,985
82487,1,210,Auburn City School District,AL,1192,11073
61464,1,240,Autauga County School District,AL,1858,10617
235420,1,270,Baldwin County School District,AL,5334,38149
11918,1,300,Barbour County School District,AL,587,1362
25652,1,330,Bessemer City School District,AL,1455,4293
22258,1,360,Bibb County School District,AL,802,3193
197810,1,390,Birmingham City School District,AL,8612,26914
53104,1,420,Blount County School District,AL,1314,9110
10524,1,12,Boaz City School District,AL,385,2035
5258,1,450,Brewton City School District,AL,215,856
9901,1,480,Bullock County School District,AL,581,1496
18256,1,510,Butler County School District,AL,893,3027
54858,1,540,Calhoun County School District,AL,1841,9227
27035,1,600,Chambers County School District,AL,983,4057
26138,1,630,Cherokee County School District,AL,731,3551
6419,1,188,Chickasaw City School District,AL,325,1135
47262,1,660,Chilton County School District,AL,1691,8480
12052,1,690,Choctaw County School District,AL,456,1690
17208,1,720,Clarke County School District,AL,754,2705
14239,1,750,Clay County School District,AL,520,2164
15648,1,780,Cleburne County School District,AL,477,2708
21658,1,810,Coffee County School District,AL,501,3823
23088,1,840,Colbert County School District,AL,708,3452
11109,1,870,Conecuh County School District,AL,545,1636
10291,1,900,Coosa County School District,AL,325,1215
22055,1,930,Covington County School District,AL,777,3600
13114,1,960,Crenshaw County School District,AL,600,2176
18090,1,990,Cullman City School District,AL,447,2984
74483,1,1020,Cullman County School District,AL,2303,12374
15782,1,1050,Dale County School District,AL,563,2625
10860,1,1080,Daleville City School District,AL,454,1657
18937,1,1110,Dallas County School District,AL,1173,3099
57930,1,1140,DeKalb County School District,AL,2593,10170
59220,1,1170,Decatur City School District,AL,1887,9958
6861,1,1200,Demopolis City School District,AL,357,1223
72521,1,1230,Dothan City School District,AL,2807,11678
5026,1,1260,Elba City School District,AL,195,749
83255,1,1290,Elmore County School District,AL,1902,13321
30294,1,1320,Enterprise City School District,AL,925,5694
31372,1,1350,Escambia County School District,AL,1304,5240
62411,1,1380,Etowah County School District,AL,1819,10195
12440,1,1410,Eufaula City School District,AL,876,2324
9852,1,1440,Fairfield City School District,AL,522,1703
14620,1,1470,Fayette County School District,AL,538,2310
41891,1,1530,Florence City School District,AL,940,5351
15192,1,1560,Fort Payne City School District,AL,804,2774
4547,1,1,Fort Rucker School District,AL,21,855
21098,1,1590,Franklin County School District,AL,771,3648
33874,1,1620,Gadsden City School District,AL,1773,5389
6106,1,1640,Geneva City School District,AL,205,930
21153,1,1660,Geneva County School District,AL,813,3526
7127,1,1680,Greene County School District,AL,583,1097
17051,1,202,Gulf Shores City School District,AL,269,2002
8952,1,1690,Guntersville City School District,AL,247,1414
15116,1,1710,Hale County School District,AL,827,2666
8413,1,1720,Haleyville City School District,AL,324,1366
15032,1,1730,Hartselle City School District,AL,248,2823
18138,1,1740,Henry County School District,AL,529,2790
26023,1,1760,Homewood City School District,AL,252,4409
92358,1,7,Hoover City School District,AL,1018,15825
38396,1,1770,Houston County School District,AL,1245,6703
234659,1,1800,Huntsville City School District,AL,4625,32629
37848,1,1830,Jackson County School District,AL,1061,5900
14383,1,1860,Jacksonville City School District,AL,323,1661
14596,1,1890,Jasper City School District,AL,545,2538
237489,1,1920,Jefferson County School District,AL,7324,40861
13543,1,1950,Lamar County School District,AL,463,2165
6778,1,1980,Lanett City School District,AL,474,1147
55611,1,2010,Lauderdale County School District,AL,953,8406
33567,1,2040,Lawrence County School District,AL,1182,5428
64612,1,2070,Lee County School District,AL,1499,10932
12314,1,11,Leeds City School District,AL,303,2041
71599,1,2100,Limestone County School District,AL,1312,10849
3935,1,2130,Linden City School District,AL,189,599
9485,1,2160,Lowndes County School District,AL,577,1496
18159,1,2190,Macon County School District,AL,756,2176
62780,1,8,Madison City School District,AL,674,13195
143828,1,2220,Madison County School District,AL,2119,24892
7716,1,2250,Marengo County School District,AL,347,1219
23475,1,2310,Marion County School District,AL,984,3674
51519,1,6,Marshall County School District,AL,1652,9292
2096,1,3,Maxwell AFB School District,AL,2,286
5134,1,2350,Midfield City School District,AL,347,1052
383013,1,2370,Mobile County School District,AL,13130,64167
19057,1,2400,Monroe County School District,AL,853,2884
214485,1,2430,Montgomery County School District,AL,10189,36875
51899,1,2480,Morgan County School District,AL,1150,8971
22232,1,2490,Mountain Brook City School District,AL,89,5127
16742,1,2520,Muscle Shoals City School District,AL,465,2956
7059,1,2550,Oneonta City School District,AL,174,1080
33444,1,2580,Opelika City School District,AL,1243,5165
6803,1,2610,Opp City School District,AL,368,1179
9137,1,3581,Orange Beach City School District,AL,118,1076
23804,1,2635,Oxford City School District,AL,863,4192
16710,1,2640,Ozark City School District,AL,839,2731
25578,1,194,Pelham City School District,AL,365,4051
30082,1,2650,Pell City City School District,AL,645,4659
7719,1,2670,Perry County School District,AL,571,1187
39158,1,2700,Phenix City City School District,AL,2046,7280
18508,1,2730,Pickens County School District,AL,705,2573
6420,1,2760,Piedmont City School District,AL,300,1053
15335,1,2790,Pike County School District,AL,859,2570
9313,1,195,Pike Road City School District,AL,138,2144
17490,1,2820,Randolph County School District,AL,560,2630
5577,1,2850,Roanoke City School District,AL,266,937
26983,1,2880,Russell County School District,AL,1058,4634
10776,1,2910,Russellville City School District,AL,535,2107
16198,1,185,Saraland City School District,AL,341,2992
6709,1,189,Satsuma City School District,AL,90,1140
15932,1,2940,Scottsboro City School District,AL,482,2409
16608,1,2970,Selma City School District,AL,1357,2951
9654,1,3000,Sheffield City School District,AL,474,1484
144520,1,3030,Shelby County School District,AL,1976,24637
62949,1,3062,St. Clair County School District,AL,1195,10586
11607,1,3090,Sumter County School District,AL,635,1661
12463,1,3120,Sylacauga City School District,AL,614,1928
15712,1,3150,Talladega City School District,AL,714,2381
48841,1,3180,Talladega County School District,AL,1991,7064
22248,1,3210,Tallapoosa County School District,AL,715,3168
9408,1,3240,Tallassee City School District,AL,286,1489
6034,1,3270,Tarrant City School District,AL,412,1219
4934,1,3300,Thomasville City School District,AL,205,789
17789,1,3330,Troy City School District,AL,749,2181
25743,1,13,Trussville City School District,AL,208,5458
105005,1,3360,Tuscaloosa City School District,AL,2741,12279
136207,1,3390,Tuscaloosa County School District,AL,3441,23586
9301,1,3420,Tuscumbia City School District,AL,354,1386
38594,1,3430,Vestavia Hills City School District,AL,195,7911
50664,1,3450,Walker County School District,AL,1868,8628
15018,1,3480,Washington County School District,AL,587,2252
9865,1,3510,Wilcox County School District,AL,722,1567
6636,1,3540,Winfield City School District,AL,234,1028
15911,1,3580,Winston County School District,AL,499,2315
2397,2,50,Alaska Gateway School District,AK,78,466
516,2,10,Aleutian Region School District,AK,2,20
3632,2,7,Aleutians East Borough School District,AK,18,134
289600,2,180,Anchorage School District,AK,4744,49233
1560,2,525,Annette Island School District,AK,61,287
6214,2,20,Bering Strait School District,AK,551,1681
884,2,30,Bristol Bay Borough School District,AK,26,124
1306,2,730,Chatham School District,AK,43,139
472,2,800,Chugach School District,AK,11,74
2502,2,70,Copper River School District,AK,96,486
2426,2,60,Cordova City School District,AK,33,391
1035,2,90,Craig City School District,AK,23,170
5044,2,100,Delta/Greely School District,AK,137,930
1621,2,770,Denali Borough School District,AK,22,225
2149,2,120,Dillingham City School District,AK,89,425
94951,2,600,Fairbanks North Star Borough School District,AK,1210,15647
450,2,130,Galena City School District,AK,19,114
2104,2,270,Haines Borough School District,AK,32,242
910,2,300,Hoonah City School District,AK,19,126
380,2,330,Hydaburg City School District,AK,21,65
1048,2,520,Iditarod Area School District,AK,84,224
31572,2,210,Juneau Borough School District,AK,331,4823
542,2,360,Kake City School District,AK,27,111
903,2,5,Kashunamiut School District,AK,97,251
61259,2,390,Kenai Peninsula Borough School District,AK,1138,10020
13677,2,150,Ketchikan Gateway Borough School District,AK,185,2048
719,2,450,Klawock City School District,AK,34,122
12654,2,480,Kodiak Island Borough School District,AK,155,2147
1397,2,760,Kuspuk School District,AK,104,324
1315,2,485,Lake and Peninsula Borough School District,AK,78,257
15263,2,1,Lower Kuskokwim School District,AK,1197,3804
6474,2,3,Lower Yukon School District,AK,735,1904
117613,2,510,Matanuska-Susitna Borough School District,AK,1743,22303
342,2,540,Nenana City School District,AK,13,73
3622,2,570,Nome School District,AK,143,777
10663,2,610,North Slope Borough School District,AK,294,1978
7134,2,625,Northwest Arctic Borough School District,AK,640,2014
96,2,630,Pelican City School District,AK,2,11
3436,2,660,Petersburg Borough School District,AK,46,523
498,2,670,Pribilof School District,AK,7,65
8355,2,240,Sitka School District,AK,94,1172
1119,2,690,Skagway School District,AK,3,127
1510,2,700,Southeast Island School District,AK,47,190
2493,2,710,Southwest Region School District,AK,303,629
569,2,680,St. Marys City School District,AK,61,154
4410,2,720,Unalaska City School District,AK,9,267
3706,2,780,Valdez City School District,AK,39,648
2064,2,810,Wrangell School District,AK,50,270
690,2,840,Yakutat School District,AK,34,119
1105,2,775,Yukon Flats School District,AK,37,215
2180,2,862,Yukon-Koyukuk School District,AK,92,426
1552,2,4,Yupiit School District,AK,188,436
171324,4,450,Agua Fria Union High School District,AZ,761,9169
846,4,480,Aguila Elementary District,AZ,5,149
3146,4,520,Ajo Unified District,AZ,42,327
101524,4,600,Alhambra Elementary District,AZ,3652,14146
671,4,630,Alpine Elementary District,AZ,13,68
6887,4,4770,Altar Valley Elementary District,AZ,227,1021
152224,4,680,Amphitheater Unified District,AZ,2651,18447
4811,4,720,Antelope Union High School District,AZ,55,210
132,4,750,Apache Elementary District,AZ,4,10
73100,4,790,Apache Junction Unified District,AZ,899,7130
1390,4,840,Arlington Elementary District,AZ,18,179
589,4,870,Ash Creek Elementary District,AZ,6,36
2077,4,910,Ash Fork Joint Unified District,AZ,52,241
58888,4,960,Avondale Elementary District,AZ,1180,8300
2338,4,1000,Bagdad Unified School District,AZ,12,498
34808,4,1050,Balsz Elementary District,AZ,885,3691
5566,4,1080,Beaver Creek Elementary District,AZ,65,763
8119,4,212,Benson Unified School District,AZ,220,1140
7354,4,1160,Bicentennial Union High School District,AZ,53,153
6472,4,1180,Bisbee Unified District,AZ,151,628
54,4,1230,Blue Elementary District,AZ,0,1
13806,4,6580,Blue Ridge Unified District,AZ,427,1998
924,4,1260,Bonita Elementary District,AZ,12,47
870,4,1290,Bouse Elementary District,AZ,16,38
646,4,1330,Bowie Unified District,AZ,20,108
56291,4,1380,Buckeye Elementary District,AZ,978,7802
103873,4,1410,Buckeye Union High School District,AZ,523,5743
44484,4,1500,Bullhead City School District,AZ,944,3296
13535,4,1600,Camp Verde Unified District,AZ,223,1973
2943,4,1650,Canon Elementary District,AZ,42,295
126652,4,1680,Cartwright Elementary District,AZ,4600,19920
79270,4,1710,Casa Grande Elementary District,AZ,1420,9642
111572,4,1740,Casa Grande Union High School District,AZ,645,5527
32725,4,1760,Catalina Foothills Unified District,AZ,182,3966
67367,4,1,Cave Creek Unified District,AZ,251,7067
6908,4,1810,Cedar Unified District,AZ,539,1306
292751,4,1870,Chandler Unified District,AZ,3293,51340
578,4,1920,Chevelon Butte School District,AZ,8,25
18694,4,1940,Chinle Unified District,AZ,1470,4089
26259,4,3,Chino Valley Unified District,AZ,264,3602
4405,4,4,Clarkdale-Jerome Elementary District,AZ,33,344
196,4,2130,Cochise Elementary District,AZ,4,25
4349,4,21,Colorado City Unified District,AZ,231,1420
72222,4,82,Colorado River Union High School District,AZ,533,2697
2653,4,2190,Concho Elementary District,AZ,128,296
2301,4,2220,Congress Elementary District,AZ,14,140
32601,4,2250,Continental Elementary District,AZ,83,1096
23363,4,2320,Coolidge Unified District,AZ,714,4490
33050,4,2370,Cottonwood-Oak Creek Elementary District,AZ,354,2845
48382,4,2400,Crane Elementary District,AZ,1049,6764
68759,4,2430,Creighton Elementary District,AZ,1428,7408
94,4,2460,Crown King Elementary District,AZ,0,2
283987,4,7750,Deer Valley Unified District,AZ,3428,46618
388,4,2490,Double Adobe Elementary District,AZ,15,43
20342,4,2530,Douglas Unified District,AZ,1172,4070
2541,4,2600,Duncan Unified District,AZ,72,450
207474,4,2690,Dysart Unified District,AZ,3426,34797
74,4,2710,Eagle Elementary District,AZ,0,7
879,4,2760,Elfrida Elementary District,AZ,17,85
6840,4,2790,Eloy Elementary District,AZ,264,971
487,4,2820,Empire Elementary District,AZ,9,65
100629,4,2860,Flagstaff Unified District,AZ,1482,13271
127395,4,2920,Florence Unified School District,AZ,2089,20742
31534,4,3010,Flowing Wells Unified District,AZ,1259,4980
5253,4,3150,Fort Huachuca Accommodation District,AZ,21,772
2678,4,3200,Fort Thomas Unified District,AZ,125,611
25780,4,3040,Fountain Hills Unified District,AZ,125,1934
36823,4,3060,Fowler Elementary District,AZ,1164,5732
2750,4,3080,Fredonia-Moccasin Unified District,AZ,88,438
27965,4,3240,Gadsden Elementary District,AZ,1527,4110
6124,4,3290,Ganado Unified District,AZ,481,1228
2433,4,3310,Gila Bend Unified District,AZ,44,554
223491,4,3400,Gilbert Unified District,AZ,2497,42471
115385,4,3420,Glendale Elementary District,AZ,3446,15741
377002,4,3450,Glendale Union High School District,AZ,3229,20015
10109,4,3500,Globe Unified District,AZ,268,1584
2424,4,3550,Grand Canyon Unified District,AZ,64,198
1281,4,3660,Hackberry School District,AZ,12,75
1060,4,3730,Hayden-Winkelman Unified District,AZ,46,165
4432,4,26,Heber-Overgaard Unified District,AZ,194,470
95599,4,3780,Higley Unified District,AZ,1013,20055
95,4,8460,Hillside Elementary District,AZ,1,17
9970,4,3820,Holbrook Unified District,AZ,563,1926
65864,4,3870,Humboldt Unified District,AZ,853,8858
368,4,3900,Hyder Elementary District,AZ,14,37
6644,4,3950,Indian Oasis-Baboquivari Unified District,AZ,101,1396
45560,4,3960,Isaac Elementary District,AZ,1816,6844
53036,4,3990,J. O. Combs Unified School District,AZ,786,10628
1805,4,4010,Joseph City Unified District,AZ,112,375
10362,4,4060,Kayenta Unified District,AZ,1053,2362
77013,4,295,Kingman Unified School District,AZ,1906,9462
1187,4,4170,Kirkland Elementary District,AZ,17,122
93,4,4200,Klondyke Elementary District,AZ,7,13
169170,4,4230,Kyrene Elementary District,AZ,1112,16978
64455,4,4280,Lake Havasu Unified District,AZ,1096,6679
58360,4,4290,Laveen Elementary District,AZ,1312,8711
42953,4,4320,Liberty Elementary District,AZ,536,5683
112436,4,4380,Litchfield Elementary District,AZ,1071,13760
3368,4,4410,Littlefield Unified District,AZ,31,358
55284,4,4440,Littleton Elementary District,AZ,1123,8479
66150,4,4500,Madison Elementary District,AZ,517,5127
1461,4,4530,Maine Consolidated School District,AZ,36,176
5382,4,4570,Mammoth-San Manuel Unified District,AZ,107,810
107917,4,4630,Marana Unified District,AZ,1559,17458
74245,4,4720,Maricopa Unified School District,AZ,1510,13671
6215,4,4820,Mayer Unified District,AZ,86,714
508,4,4860,McNary Elementary District,AZ,50,152
440,4,4920,McNeal Elementary District,AZ,13,82
523580,4,4970,Mesa Unified District,AZ,10503,79556
6876,4,5030,Miami Unified District,AZ,293,1171
37456,4,5070,Mingus Union High School District,AZ,145,1436
76,4,5100,Mobile Elementary District,AZ,0,5
25200,4,5190,Mohave Valley Elementary District,AZ,413,2093
1094,4,5220,Mohawk Valley Elementary District,AZ,32,100
6741,4,5320,Morenci Unified District,AZ,104,1431
1821,4,5340,Morristown Elementary District,AZ,18,184
16373,4,5400,Murphy Elementary District,AZ,512,1706
1221,4,5430,Naco Elementary District,AZ,66,271
10561,4,5460,Nadaburg Unified School District,AZ,172,1679
22204,4,5530,Nogales Unified District,AZ,1327,4394
19161,4,5640,Oracle Elementary District,AZ,88,912
44532,4,5670,Osborn Elementary District,AZ,652,3385
586,4,5730,Owens-Whitney Elementary District,AZ,10,67
12634,4,5820,Page Unified District,AZ,567,2575
3239,4,5850,Palo Verde Elementary District,AZ,56,458
182,4,8430,Paloma School District,AZ,3,57
10169,4,5880,Palominas Elementary District,AZ,231,1381
282625,4,5930,Paradise Valley Unified District,AZ,3424,40221
9638,4,5980,Parker Unified School District,AZ,270,1416
1462,4,6000,Patagonia Elementary District,AZ,14,96
3351,4,6030,Patagonia Union High School District,AZ,8,109
23077,4,6070,Payson Unified District,AZ,441,2638
1415,4,6120,Peach Springs Unified District,AZ,39,332
1927,4,6150,Pearce Elementary District,AZ,19,115
81216,4,6210,Pendergast Elementary District,AZ,1874,11117
265801,4,6250,Peoria Unified School District,AZ,4169,43230
62027,4,6300,Phoenix Elementary District,AZ,1391,5480
763992,4,6330,Phoenix Union High School District,AZ,6973,39833
8168,4,6360,Picacho Elementary District,AZ,15,118
4408,4,6440,Pima Unified District,AZ,118,1018
2952,4,6510,Pine Strawberry Elementary District,AZ,76,207
6828,4,23,Pinon Unified District,AZ,741,1425
918,4,6630,Pomerene Elementary District,AZ,20,127
66413,4,6730,Prescott Unified District,AZ,470,5595
3892,4,6780,Quartzsite Elementary District,AZ,70,124
69640,4,6810,Queen Creek Unified District,AZ,607,14883
3539,4,6850,Ray Unified District,AZ,54,580
7063,4,6870,Red Mesa Unified District,AZ,500,1360
4511,4,6900,Red Rock Elementary District,AZ,64,624
87,4,6930,Redington Elementary District,AZ,0,18
8067,4,7020,Riverside Elementary District,AZ,251,1338
126415,4,7080,Roosevelt Elementary District,AZ,3555,17013
7305,4,7130,Round Valley Unified District,AZ,305,1368
9571,4,7200,Sacaton Elementary District,AZ,214,1485
15146,4,7170,Saddle Mountain Unified School District,AZ,375,3178
